sentence1,sentence2,label
John ndaikatúi ohecha escenario Billy oĩramo henondépe ikarapeterei rupi.,John ikarapeterei.,entailment
"Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe. ","Isy oike kirirĩhapete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.",not_entailment
Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Aguenohẽ yryru che vokógui aguereko hag̃ua che voko cheykereve. ,not_entailment
Bombero-kuéra hi'areve policia-kuéragui og̃uahẽ hag̃ua mombyryve oĩ rupi. ,Policia-kuéra ou mombyryvégui.,not_entailment
"Ko'ág̃a peve Larry katuete oipytyvõ itúvape hembiapópe. Ha katu ko'ág̃a ndaikatuvéima oipytyvõ ichupe, itúva he'irupi huvicha compañía ferroviaria-pegua ndoipotaiha avavete oĩ hendive imba'apohápe.  ",Ko'ág̃a itúva ndaikatúi oipytyvõ ichupe.,not_entailment
"Jane ojepopete Susan rógape, ha avave nosẽi hendápe.",Nosẽi avave Susan rendápe.,not_entailment
"Bob oha'ãhína baraja Adam ndive ha ogana ohóvo. Adam peichaguieténte ndaipo'ái rire, ha'e oganamo'ãkuri.",Adam ikatúkuri ogana.,not_entailment
Upe mba'eapu'aguasu ombokua mesa ha'e rupi acero-guigua.,Upe vóla tuicháva ha'e rupi acero-guigua.,entailment
Tom he'i “jaque” Ralph-pe ojapyhývo alfil.,Tom he'i “jaque” Ralph-pe ojapyhývo Ralph alfil. ,entailment
Joe opaga detective-pe omog̃uahẽvo chupe informe paha pe káso rehegua.,Joe-pe og̃uahẽ informe paha pe káso rehegua.,entailment
"Romoĩsemo'ã ore boletín opaite sala guapyhakuérape, katu hetaiterei oĩ.  ",Oĩkuri hetaiterei boletin.,not_entailment
"Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague. ",Arnold omanohague ojapóma 200 ary.,entailment
"Sam ha Amy ojoayhueterei, katu Amy tuvakuéra ndoguerohorýi ijejapoiterei rupi.",Amy tuvakuéra ijejapoiterei.,entailment
Bill ombohasa John-pe bandeja nandi lénto iñembyahyieterei rupi,John iñembyahyieterei.,entailment
Sara oiporu peteĩ aranduka arandukarendágui oikotevẽ rupi ojapo hag̃ua peteĩ artículo ohaivahína. Omoñe'ẽ hógape og̃uahẽ rire imba'apohágui. ,Omoñe'ẽ artículo og̃uahẽ rire hógape imba'apohágui.,not_entailment
Fred ohechákuri téle George oho aja oheka tembi'u. Peteĩ aravo ohasa rire ou jey.,George ou jey.,entailment
"Lily oñe'ẽ Donna-pe, ha omyangekói ichupe oĩporãitehágui.","Lily oñe'ẽ Donna-pe, ha omyangekói Donna-pe.",entailment
"Alice opaichareikuri oñeha'ã ojoko ani hag̃ua oñe'ẽ jerokyhápe imembykuña, ha roñeporandukuri mba'érepa péicha ojapo. ",Alice membykuña ndojeikuaái mba'épa upe ojaposéva.,not_entailment
"Heta jey Henry oĩkuri itúva oñe'ẽ jave umi detective katupyry ndive oipotáva oipytyvõ ichupe omyesakã hag̃ua umi káso ijetu'u añetéva, ha umíva ichupe opytáva mandu'arã.",Ko'ãva opytáva Henry-pe mandu'arã.,entailment
"Sam omboja peteĩ apyka piano oĩháme, katu opẽmba, ha upévare opytánte oñembo'yhápe.","Upe apyka opẽmba, ha upévare opytánte oñembo'yhápe.",entailment
Umi político Washington-pegua ndaikatúi oikuaávo umi colono-pe ha upévare ojapo tekoguatarã ichupekuéra g̃uarã. ,Ojapo tekoguatarã ichupekuéra g̃uarã. ,not_entailment
Anna-pe osẽ porãiteve kuara'ã ojapova'ekue iñangirũete Lucy ojapova'ekuégui hetave olee rupi. ,Anna heta árama oñemoarandu,entailment
"John he'íkuri Bill-pe ohotaha, upéva rehe oho avei ohasa rire peteĩ aravo.", John oho.,entailment
Pira ho'u ysópe. Iñembyahýikuri. ,Yso iñembyahýi.,not_entailment
Bill ombohasa John-pe bandeja nandilénto hyg̃uatáma rupi.,Bill hyg̃uatãma.,entailment
Aguara oike pyharekue ha ho'use ryguasukuéra. Ajukátamante.,Ajukátamante umi aguara.,entailment
"Ann oporandu Mary-pe mba'e aravópepa omboty aranduka ñevendeha, hesaráima rupi.",Ann hesaráima.,entailment
Peteĩ ñemuhára oike banco-pe ha oikutu peteĩva umi cajero-pe. Pya'eterei oguereha hikuái tasyópe.,Ogueraha hikuái pya'eterei ñemuhárape tasyópe. ,not_entailment
Emma nombohasái vakapipopo Janie-pe jepémo ohecha oĩha ha'eñoite.,Emma ohecha ichupe oĩha ha'eñoite.,entailment
"Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese.,entailment
"Ojesarekóramo hupa yvategua guive, Tatyana ikatu ohecha isýpe oĩporãiteha. Mba'eichaitépa michĩmi, ojepyso hatã'asy tupa oĩva iguýpe. Hesa oñemboty katu Tatyana ndogueroviapái añetehápepa okehína. ",Tatyana ndogueroviapái añetehápepa isy okehína. ,entailment
"Ndaikatúi aikytĩ háchape ko yvyra rakã, ipoguasueterei.",Hácha ipoguasueterei.,not_entailment
Tom ogueraha Ralph-pe mbo'ehaópe mba'yruguatápe ani hag̃ua omboguata ha'eño. ,Ani hag̃ua Tom omboguata ha'eño.,entailment
Ta'ãnga Sam ojapóva oñemosãigókuri Tina ojapova'ekue ári ha ha'ete iporãvéva oĩramo ambue iguýpe.,Ta'ãnga Sam ojapova'ekue ha'etévaicha iporãvéva oĩramo ambue ta'ãnga iguýpe.,entailment
"Jepémo peteĩchalénto oñani hikuái, Sue raẽ og̃uahẽkuri Sally-gui ha'e oñepyrũ porãve rupi.",Sue oñepyrũ porãvekuri.,entailment
Upe kuimba'e ogueraha mitãme ijati'y ári,Pe kuimba'e ogueraha mitãme kuimba'e ati'y ári,entailment
"Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague.",Arnold omanohague ojapóma 200 ary.,not_entailment
Nemandu'ápa reikytĩramoguare tulipan rapo ha embojy hamburguesarã reimo'ã rupi ha'eha sevói.,Reimo'ãpa umi bulbo ha'eha sevói,entailment
Ko aranduka omoĩnge ñepyrũ Shakespeare Ovidio akãme; hetamba'e ichugui oúva oĩ ihaipyrépe.,Tuichaiterei mba'e Shakespeare haipýpe g̃uarã.,entailment
Añongatu tarta eladérape. Heta tembyre oĩ ipype.  ,Heta tembyre oĩ tarta-pe.,not_entailment
Steve akóinte oreko techapyrãramo Fred-pe. Ohecharamoite ichupe.,Heta mba'épe ohecharamo Fred-pe.,entailment
"Tommy-gui helado ho'aramoguare, Timmy opuka hese, upéva rehe itúva oma'ẽvai hese. ",Tommy ru oma'ẽvai hese.,not_entailment
"Ndaguerekóikuri kuimbe, upéva rehe aiporukuri peteĩ viróme aipyvu hag̃ua che café. Katu naiporãiete upe ajapóva ohopaite rupi tinta ipype. ",Café henyhẽ tinta-gui,entailment
"Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave umi golf ra'ãhárape. ",Umi ovecha ñangarekohára ojoguave uvei umi golf ra'ãharakuérape.,entailment
John oñanihína parque-pe ha ohecha sapy'a peteĩ tapicha ojapóva malabarismo sandia reheve. Ohecharamoiterei.,John ohecharamoiterei.,entailment
"Che ru oma'ẽ itajyrakuéra rováre, ha'ete ku noimo'ãi ha hovañembyasyvahína ko'ág̃a. Ivaimavoihína omboyke umi oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra. ",Ivaimavoihína umi tova omboyke heta mba'e oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra ,not_entailment
"Jagua omuña mbarakajápe, ojupíva peteĩ yvyra rehe. Oha'ãrõ ichupe iguýpe.",Jagua oha'ãrõ iguýpe.,entailment
Aikutu peteĩ ju zanahoria rehe. Aipe'a rire ju opyta ikuare hese.,Zahahoria oheja peteĩ kuare.,not_entailment
"Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave jaguápe. ",Umi ovecha ojoguave uvei jaguápe.,entailment
"Concierto okápe oiko aja oñepyrũ oky sapy'a, ha ohorei hese la 10 peve.",Concierto oho hese la 10 peve.,not_entailment
Mark oikuaaporã peteĩ mba'e. Harry sa'ieteve oikuaa ichugui. ,Harry sa'ieteve oikuaa ichugui.,entailment
"Peteĩ ka'aru arahaku jave, ha jagua oñenohína kapi'ipe mbytépe. Upe riremínte, opu'ã ha oho yvyra guýpe hakúma rupi ichupe.  ",Hakúma jaguápe.,entailment
"Ombohasahína hikuái marandu, ha upe jave oike peteĩ tren estación-pe ha nahendúi upe he'íva.",Nahendúi upe marandu.,not_entailment
John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,John ipochyeterei,entailment
Mary oguenohẽ imimby ha ombopu peteĩva purahéi ohayhuvéva. Ohayhu yma imitãkuñami guive.,Ohayhu upe purahéi yma imitãkuñami guive.,entailment
Jane ojepopete okẽ renondépe ha Susan osẽ ohecha. Ojerure ichupe osẽ hag̃ua oñondive.,Susan oipepirũ ichupe osẽ hag̃ua hendive.,not_entailment
Pam sy ha itúva og̃uahẽ hógape ha ojuhu chupe tupápe ichíko Paul ndive. Ipochyeterei hikuái.,Pam ha Paul ipochyeterei hikuái.,not_entailment
"Aguapy'aína upépe añeñandu upe mitãkaria'ýicha amoñe'ẽva'ekue rembiasakuépe, ojukava'ekue peteĩ kuñáme ha hetekue oñongatu mesa karuha guýpe, ha upéi ha'éntema hetia'éva vy'aguasu aja, upe kuña retekue reheve upépe.","Ha'étamante upe hetia'evéva vy'aguasu aja, vy'aguasu upépe oiko aja.",not_entailment
"Fred omoĩva'erãkuri upe tembiporu joheiha, katu ohejavénte ág̃amieve g̃uarã ohechase rupi téle. Upéi ohechakuaa upe télepe ombohasáva nahe'ẽiha, omoambue upe he'iva'ekue ha ombogue.",Omoambue upe he'iva'ekue ha ombogue,entailment
"Hasy ojeheja hag̃ua upe ojal renda peteĩchapa ojoehegui, ha hasy oiñeikytĩ hag̃ua peteĩchapaite.Michĩmínte jepe oku'éramo punzón ikatu tuichavéma ojal ambuégui ha peteĩ inimbónte jepe noñeikytĩriramo ikatu ojal mbykyve.  ",ha peteĩ inimbónte jepe noñeikytĩriramo ikatu imimbo mbykyve.,not_entailment
Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ohasa Goodman ojapo hag̃ua ehegua tembikuaareka.,entailment
"Alice omopotĩkuri yvytimbo kotyguasúpe ha upekuévo oheka votõ okañyva'ekue isýgui. Ko'árape nahembýi ichupe aravo ohecha hag̃ua umi ta'ãnga ymaguare upe álbum ohayhuvevapegua. Ko árape ohekava'erã peteĩ votõ, upévare oheja álbum sillón ári ohecha'ỹre ni peteĩ hogue.",Isy ohekava'erã peteĩ votõ.,not_entailment
Amoĩ y botella-gui taza-pe henyhẽte peve.,Henyhẽtéma pe taza,entailment
