index,sentence1,sentence2,label
0,Clavé una aguja en una zanahoria. Cuando saqué la aguja tenía un agujero.,La zanahoria tenía un agujero.,1
1,John no podía ver el escenario si Billy estaba delante de él porque es demasiado bajo.,John es demasiado bajo.,1
2,Los policías arrestaron a todos los miembros de la banda. Intentaban acabar con el tráfico de drogas en el barrio.,Los policías intentaban acabar con el tráfico de drogas en el barrio.,1
3,Steve siempre sigue el ejemplo de Fred. Tiene mucha influencia sobre él.,Steve tiene mucha influencia sobre él.,0
4,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","La madre entró con cuidado para no despertarla, se desvistió y subió a su litera.",0
5,"George consiguió entradas gratis para la obra, pero se las dio a Eric, porque tenía muchas ganas de verla.",George tenía muchas ganas de verla.,0
6,John corría por el parque cuando vio a un hombre que hacía malabares con sandías. Era espectacular.,John era espectacular.,0
7,No pude coger el frasco del estante porque estaba demasiado alto.,El frasco estaba demasiado alto.,1
8,"Queríamos colocar ejemplares de nuestro boletín en todos los asientos de la sala, pero no había suficientes.",No había suficientes ejemplares del boletín.,1
9,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy inteligentes.",Los jueces eran muy inteligentes.,0
10,Saqué la cantimplora de la mochila para que pesara menos.,Saqué la cantimplora de la mochila para que la mochila pesara menos.,1
11,La mesa no pasará por la puerta porque es demasiado estrecha.,La mesa es demasiado estrecha.,0
12,Saqué la cantimplora de la mochila para tenerla más a mano.,Saqué la cantimplora de la mochila para tener la mochila más a mano.,0
13,Los bomberos llegaron más tarde que los policías porque venían de más lejos.,Los policías venían de más lejos.,0
14,"Hasta ahora Larry siempre había ayudado a su padre en su trabajo. Pero ahora no podía ayudarle, porque su padre decía que el jefe de la compañía ferroviaria no quería que hubiera nadie más que él en la oficina.",Ahora su padre no podía ayudarle.,0
15,Vertí agua de la botella a la taza hasta que estuvo vacía.,Hasta que la taza estuvo vacía.,0
