ref,sentence1,sentence2,score
8cd6305902824343b57143f113fd2932,John ndaikatúi ohecha escenario Billy oĩramo henondépe ikarapeterei rupi.,John ikarapeterei.,1
995ee38f9c818c1187e9ccb623578401,"Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe. ","Isy oike kirirĩhapete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.",0
ea0c3af20e220ea83c53341935c208bc,Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Aguenohẽ yryru che vokógui aguereko hag̃ua che voko cheykereve. ,0
9010edf559d300ff45b9883f5cf0a749,Bombero-kuéra hi'areve policia-kuéragui og̃uahẽ hag̃ua mombyryve oĩ rupi. ,Policia-kuéra ou mombyryvégui.,0
f9b150c24cc644f167bf35ab198067a8,"Ko'ág̃a peve Larry katuete oipytyvõ itúvape hembiapópe. Ha katu ko'ág̃a ndaikatuvéima oipytyvõ ichupe, itúva he'irupi huvicha compañía ferroviaria-pegua ndoipotaiha avavete oĩ hendive imba'apohápe.  ",Ko'ág̃a itúva ndaikatúi oipytyvõ ichupe.,0
c838197316e4e2879563d80271046c43,"Jane ojepopete Susan rógape, ha avave nosẽi hendápe.",Nosẽi avave Susan rendápe.,0
b280042450c097c9f81cf545c0bc693e,"Bob oha'ãhína baraja Adam ndive ha ogana ohóvo. Adam peichaguieténte ndaipo'ái rire, ha'e oganamo'ãkuri.",Adam ikatúkuri ogana.,0
3806affc801a2cb457619771d9f134f4,Upe mba'eapu'aguasu ombokua mesa ha'e rupi acero-guigua.,Upe vóla tuicháva ha'e rupi acero-guigua.,1
3a676d1b07624b98dc81cf9bc698c31c,Tom he'i “jaque” Ralph-pe ojapyhývo alfil.,Tom he'i “jaque” Ralph-pe ojapyhývo Ralph alfil. ,1
a8c9eac8dedbc25c5dd2b0a88d12f321,Joe opaga detective-pe omog̃uahẽvo chupe informe paha pe káso rehegua.,Joe-pe og̃uahẽ informe paha pe káso rehegua.,1
2d5f34d8a93bc6755f8baa94f7c6582f,"Romoĩsemo'ã ore boletín opaite sala guapyhakuérape, katu hetaiterei oĩ.  ",Oĩkuri hetaiterei boletin.,0
6a178991f7f1c79eea8d239131bf2420,"Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague. ",Arnold omanohague ojapóma 200 ary.,1
10b20dc6123fcea31bf8a6370ecee051,"Sam ha Amy ojoayhueterei, katu Amy tuvakuéra ndoguerohorýi ijejapoiterei rupi.",Amy tuvakuéra ijejapoiterei.,1
0ec2c7e5694813566d59e68845cf3d74,Bill ombohasa John-pe bandeja nandi lénto iñembyahyieterei rupi,John iñembyahyieterei.,1
e9988813efbf4c0e75b470782f3a5c4b,Sara oiporu peteĩ aranduka arandukarendágui oikotevẽ rupi ojapo hag̃ua peteĩ artículo ohaivahína. Omoñe'ẽ hógape og̃uahẽ rire imba'apohágui. ,Omoñe'ẽ artículo og̃uahẽ rire hógape imba'apohágui.,0
fa32c40d3f102c7fddb7b38314f7d944,Fred ohechákuri téle George oho aja oheka tembi'u. Peteĩ aravo ohasa rire ou jey.,George ou jey.,1
cebb77c5eb6bf5089c0bf07808bf7105,"Lily oñe'ẽ Donna-pe, ha omyangekói ichupe oĩporãitehágui.","Lily oñe'ẽ Donna-pe, ha omyangekói Donna-pe.",1
38aea392c29f09358896298d01809347,"Alice opaichareikuri oñeha'ã ojoko ani hag̃ua oñe'ẽ jerokyhápe imembykuña, ha roñeporandukuri mba'érepa péicha ojapo. ",Alice membykuña ndojeikuaái mba'épa upe ojaposéva.,0
7508134fdb49a4556ca84e2e292e10c2,"Heta jey Henry oĩkuri itúva oñe'ẽ jave umi detective katupyry ndive oipotáva oipytyvõ ichupe omyesakã hag̃ua umi káso ijetu'u añetéva, ha umíva ichupe opytáva mandu'arã.",Ko'ãva opytáva Henry-pe mandu'arã.,1
1792ac7814e7f7466ca79213daf6822a,"Sam omboja peteĩ apyka piano oĩháme, katu opẽmba, ha upévare opytánte oñembo'yhápe.","Upe apyka opẽmba, ha upévare opytánte oñembo'yhápe.",1
07eefa35f24ed0f7b90ad3e55c6354f5,Umi político Washington-pegua ndaikatúi oikuaávo umi colono-pe ha upévare ojapo tekoguatarã ichupekuéra g̃uarã. ,Ojapo tekoguatarã ichupekuéra g̃uarã. ,0
c2a01f494179048c41d31552bd1edb16,Anna-pe osẽ porãiteve kuara'ã ojapova'ekue iñangirũete Lucy ojapova'ekuégui hetave olee rupi. ,Anna heta árama oñemoarandu,1
1f5cac3bf16ec0a52c446ebd1cc915bc,"John he'íkuri Bill-pe ohotaha, upéva rehe oho avei ohasa rire peteĩ aravo.", John oho.,1
9c38a9ba576e67e78914f1ee8e6b022b,Pira ho'u ysópe. Iñembyahýikuri. ,Yso iñembyahýi.,0
726b1ccee0745802ab3b834fa89483a4,Bill ombohasa John-pe bandeja nandilénto hyg̃uatáma rupi.,Bill hyg̃uatãma.,1
c192049d95aefc972c98f5405e064637,Aguara oike pyharekue ha ho'use ryguasukuéra. Ajukátamante.,Ajukátamante umi aguara.,1
a8b5f1d24c25966cf30b17047be2eff1,"Ann oporandu Mary-pe mba'e aravópepa omboty aranduka ñevendeha, hesaráima rupi.",Ann hesaráima.,1
20b7a55b70cd9f6faba38ecfa025f1cc,Peteĩ ñemuhára oike banco-pe ha oikutu peteĩva umi cajero-pe. Pya'eterei oguereha hikuái tasyópe.,Ogueraha hikuái pya'eterei ñemuhárape tasyópe. ,0
b153d4841e993d1ceae85790ae59630c,Emma nombohasái vakapipopo Janie-pe jepémo ohecha oĩha ha'eñoite.,Emma ohecha ichupe oĩha ha'eñoite.,1
4b1d708897f235b3f73b8fe7065013cc,"Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese.,1
04a68bbe90a5af9246aa1a6c1c69a770,"Ojesarekóramo hupa yvategua guive, Tatyana ikatu ohecha isýpe oĩporãiteha. Mba'eichaitépa michĩmi, ojepyso hatã'asy tupa oĩva iguýpe. Hesa oñemboty katu Tatyana ndogueroviapái añetehápepa okehína. ",Tatyana ndogueroviapái añetehápepa isy okehína. ,1
fbce1726618e9120df71d499b73b63db,"Ndaikatúi aikytĩ háchape ko yvyra rakã, ipoguasueterei.",Hácha ipoguasueterei.,0
37083c7b28984fee43db8591e29aac9f,Tom ogueraha Ralph-pe mbo'ehaópe mba'yruguatápe ani hag̃ua omboguata ha'eño. ,Ani hag̃ua Tom omboguata ha'eño.,1
4e74787607e7efb2bfad695925c2b59d,Ta'ãnga Sam ojapóva oñemosãigókuri Tina ojapova'ekue ári ha ha'ete iporãvéva oĩramo ambue iguýpe.,Ta'ãnga Sam ojapova'ekue ha'etévaicha iporãvéva oĩramo ambue ta'ãnga iguýpe.,1
7cb8030c268ed1bf54a80cedc4ff2fe6,"Jepémo peteĩchalénto oñani hikuái, Sue raẽ og̃uahẽkuri Sally-gui ha'e oñepyrũ porãve rupi.",Sue oñepyrũ porãvekuri.,1
d5ba8006fdeda3ca74ff6ac6d82be2e2,Upe kuimba'e ogueraha mitãme ijati'y ári,Pe kuimba'e ogueraha mitãme kuimba'e ati'y ári,1
e6d254807698d316b451fc0f788d06dd,"Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague.",Arnold omanohague ojapóma 200 ary.,0
1f2e0c3b15f58530aaf1fa76ce4b6e12,Nemandu'ápa reikytĩramoguare tulipan rapo ha embojy hamburguesarã reimo'ã rupi ha'eha sevói.,Reimo'ãpa umi bulbo ha'eha sevói,1
efd206f04b9be5533ad34861a84cc315,Ko aranduka omoĩnge ñepyrũ Shakespeare Ovidio akãme; hetamba'e ichugui oúva oĩ ihaipyrépe.,Tuichaiterei mba'e Shakespeare haipýpe g̃uarã.,1
819642c8ff20c0d5ceeb6fa0294a1269,Añongatu tarta eladérape. Heta tembyre oĩ ipype.  ,Heta tembyre oĩ tarta-pe.,0
31525d7fc2146b095f58847a000059a0,Steve akóinte oreko techapyrãramo Fred-pe. Ohecharamoite ichupe.,Heta mba'épe ohecharamo Fred-pe.,1
e6197ce677294f7311ca05e82946719a,"Tommy-gui helado ho'aramoguare, Timmy opuka hese, upéva rehe itúva oma'ẽvai hese. ",Tommy ru oma'ẽvai hese.,0
5141f61ae6582955cf9074630eebc26f,"Ndaguerekóikuri kuimbe, upéva rehe aiporukuri peteĩ viróme aipyvu hag̃ua che café. Katu naiporãiete upe ajapóva ohopaite rupi tinta ipype. ",Café henyhẽ tinta-gui,1
55178531a7797f1e2820f990e87b90f2,"Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave umi golf ra'ãhárape. ",Umi ovecha ñangarekohára ojoguave uvei umi golf ra'ãharakuérape.,1
b6471a30958c601c37b64013d81b3dbe,John oñanihína parque-pe ha ohecha sapy'a peteĩ tapicha ojapóva malabarismo sandia reheve. Ohecharamoiterei.,John ohecharamoiterei.,1
357462876580cbb403e399bf86318e06,"Che ru oma'ẽ itajyrakuéra rováre, ha'ete ku noimo'ãi ha hovañembyasyvahína ko'ág̃a. Ivaimavoihína omboyke umi oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra. ",Ivaimavoihína umi tova omboyke heta mba'e oipotáva ha'e ndaikatúi rupi ome'ẽ ichupekuéra ,0
4d93db15cc9f81655f26779b3f607595,"Jagua omuña mbarakajápe, ojupíva peteĩ yvyra rehe. Oha'ãrõ ichupe iguýpe.",Jagua oha'ãrõ iguýpe.,1
13091ea1883bb28b0f73997ef4950868,Aikutu peteĩ ju zanahoria rehe. Aipe'a rire ju opyta ikuare hese.,Zahahoria oheja peteĩ kuare.,0
838c23a71880d7d5fd4e2bd93de2a2a2,"Sam oñeha'ãkuri omoha'ãnga hag̃ua ovechakuéra iñangarekohára ndive, katu uvei ojoguave jaguápe. ",Umi ovecha ojoguave uvei jaguápe.,1
775c62e877d31d0c418836f0d40541b0,"Concierto okápe oiko aja oñepyrũ oky sapy'a, ha ohorei hese la 10 peve.",Concierto oho hese la 10 peve.,0
8817d8f2838cb9aecf40ba1d481d9d63,Mark oikuaaporã peteĩ mba'e. Harry sa'ieteve oikuaa ichugui. ,Harry sa'ieteve oikuaa ichugui.,1
25ff2aa7aa7aa53e09f1d2c9c26628b5,"Peteĩ ka'aru arahaku jave, ha jagua oñenohína kapi'ipe mbytépe. Upe riremínte, opu'ã ha oho yvyra guýpe hakúma rupi ichupe.  ",Hakúma jaguápe.,1
8bd75b54d1d63f272593a102b272711e,"Ombohasahína hikuái marandu, ha upe jave oike peteĩ tren estación-pe ha nahendúi upe he'íva.",Nahendúi upe marandu.,0
fb28ba96105f75808a90e2578ae2da48,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Ombopochyete ichupe upéva.,John ipochyeterei,1
52625b6e77f536c68c2ee249584484d0,Mary oguenohẽ imimby ha ombopu peteĩva purahéi ohayhuvéva. Ohayhu yma imitãkuñami guive.,Ohayhu upe purahéi yma imitãkuñami guive.,1
77a8d72928418fbc6957e8126f6381b4,Jane ojepopete okẽ renondépe ha Susan osẽ ohecha. Ojerure ichupe osẽ hag̃ua oñondive.,Susan oipepirũ ichupe osẽ hag̃ua hendive.,0
66851fd825412743ec1ccaea14d541a2,Pam sy ha itúva og̃uahẽ hógape ha ojuhu chupe tupápe ichíko Paul ndive. Ipochyeterei hikuái.,Pam ha Paul ipochyeterei hikuái.,0
8dd861caf907f0c88456cdd369d9fb4e,"Aguapy'aína upépe añeñandu upe mitãkaria'ýicha amoñe'ẽva'ekue rembiasakuépe, ojukava'ekue peteĩ kuñáme ha hetekue oñongatu mesa karuha guýpe, ha upéi ha'éntema hetia'éva vy'aguasu aja, upe kuña retekue reheve upépe.","Ha'étamante upe hetia'evéva vy'aguasu aja, vy'aguasu upépe oiko aja.",0
