sentence1_2_md5,sentence1,sentence1_gn,sentence2,sentence2_gn,label
8cd6305902824343b57143f113fd2932,John no podía ver el escenario si Billy estaba delante de él porque es demasiado bajo.,John ndaikatúi ohecha escenario Billy oĩramo henondépe ikarapeterei rupi.,John es demasiado bajo.,John ikarapeterei.,1
995ee38f9c818c1187e9ccb623578401,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe. ","La madre entró con cuidado para no despertarla, se desvistió y subió a su litera.","Isy oike kirirĩhapete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.",0
ea0c3af20e220ea83c53341935c208bc,Saqué la cantimplora de la mochila para tenerla más a mano.,Aguenohẽ yryru che vokógui aguereko hag̃ua cheykereve.,Saqué la cantimplora de la mochila para tener la mochila más a mano.,Aguenohẽ yryru che vokógui aguereko hag̃ua che voko cheykereve. ,0
9010edf559d300ff45b9883f5cf0a749,Los bomberos llegaron más tarde que los policías porque venían de más lejos.,Bombero-kuéra hi'areve policia-kuéragui og̃uahẽ hag̃ua mombyryve oĩ rupi. ,Los policías venían de más lejos.,Policia-kuéra ou mombyryvégui.,0
f9b150c24cc644f167bf35ab198067a8,"Hasta ahora Larry siempre había ayudado a su padre en su trabajo. Pero ahora no podía ayudarle, porque su padre decía que el jefe de la compañía ferroviaria no quería que hubiera nadie más que él en la oficina.","Ko'ág̃a peve Larry katuete oipytyvõ itúvape hembiapópe. Ha katu ko'ág̃a ndaikatuvéima oipytyvõ ichupe, itúva he'irupi huvicha compañía ferroviaria-pegua ndoipotaiha avavete oĩ hendive imba'apohápe.  ",Ahora su padre no podía ayudarle.,Ko'ág̃a itúva ndaikatúi oipytyvõ ichupe.,0
c838197316e4e2879563d80271046c43,"Jane llamó a la puerta de Susan, pero no obtuvo respuesta.","Jane ojepopete Susan rógape, ha avave nosẽi hendápe.",Susan no obtuvo respuesta.,Nosẽi avave Susan rendápe.,0
b280042450c097c9f81cf545c0bc693e,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un repentino golpe de suerte, él habría ganado.","Bob oha'ãhína baraja Adam ndive ha ogana ohóvo. Adam peichaguieténte ndaipo'ái rire, ha'e oganamo'ãkuri.",Adam habría ganado.,Adam ikatúkuri ogana.,0
3806affc801a2cb457619771d9f134f4,La gran bola penetró a través de la mesa porque era de acero.,Upe mba'eapu'aguasu ombokua mesa ha'e rupi acero-guigua.,La gran bola era de acero.,Upe vóla tuicháva ha'e rupi acero-guigua.,1
3a676d1b07624b98dc81cf9bc698c31c,Tom dijo “jaque” a Ralph cuando capturó su alfil.,Tom he'i “jaque” Ralph-pe ojapyhývo alfil.,Tom dijo “jaque” a Ralph cuando capturó el alfil de Ralph.,Tom he'i “jaque” Ralph-pe ojapyhývo Ralph alfil. ,1
a8c9eac8dedbc25c5dd2b0a88d12f321,Joe pagó al detective cuando hubo recibido el informe final sobre el caso.,Joe opaga detective-pe omog̃uahẽvo chupe informe paha pe káso rehegua.,Joe recibió el informe final sobre el caso.,Joe-pe og̃uahẽ informe paha pe káso rehegua.,1
2d5f34d8a93bc6755f8baa94f7c6582f,"Queríamos colocar ejemplares de nuestro boletín en todos los asientos de la sala, pero había demasiados.","Romoĩsemo'ã ore boletín opaite sala guapyhakuérape, katu hetaiterei oĩ.  ",Había demasiados ejemplares del boletín.,Oĩkuri hetaiterei boletin.,0
6a178991f7f1c79eea8d239131bf2420,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos antes.","Jackson omomba'eguasueterei Arnold-pe, jepémo ojapóma 200 ary omanohague. ",Arnold vivió dos siglos antes.,Arnold omanohague ojapóma 200 ary.,1
10b20dc6123fcea31bf8a6370ecee051,"Sam y Amy están muy enamorados, pero a los padres de Amy no les gusta, porque son unos esnobs.","Sam ha Amy ojoayhueterei, katu Amy tuvakuéra ndoguerohorýi ijejapoiterei rupi.",Los padres de Amy son unos esnobs.,Amy tuvakuéra ijejapoiterei.,1
0ec2c7e5694813566d59e68845cf3d74,Bill pasó la bandeja medio vacía a John porque tenía hambre.,Bill ombohasa John-pe bandeja nandi lénto iñembyahyieterei rupi,John tenía hambre.,John iñembyahyieterei.,1
e9988813efbf4c0e75b470782f3a5c4b,Sara tomó prestado un libro de la biblioteca porque lo necesita para un artículo en el que está trabajando. Lo lee cuando llega a casa del trabajo.,Sara oiporu peteĩ aranduka arandukarendágui oikotevẽ rupi ojapo hag̃ua peteĩ artículo ohaivahína. Omoñe'ẽ hógape og̃uahẽ rire imba'apohágui. ,Lee el artículo cuando llega a casa del trabajo.,Omoñe'ẽ artículo og̃uahẽ rire hógape imba'apohágui.,0
fa32c40d3f102c7fddb7b38314f7d944,Fred miraba la televisión mientras George salía a comprar comida. Al cabo de una hora volvió.,Fred ohechákuri téle George oho aja oheka tembi'u. Peteĩ aravo ohasa rire ou jey.,George volvió.,George ou jey.,1
cebb77c5eb6bf5089c0bf07808bf7105,"Lily habló a Donna, e interrumpió su concentración.","Lily oñe'ẽ Donna-pe, ha omyangekói ichupe oĩporãitehágui.","Lily habló a Donna, e interrumpió la concentración de Donna.","Lily oñe'ẽ Donna-pe, ha omyangekói Donna-pe.",1
38aea392c29f09358896298d01809347,"Alice intentó con todas sus fuerzas evitar que su hija hablara en la fiesta, y nos preguntábamos por qué se comportaba de forma tan extraña.","Alice opaichareikuri oñeha'ã ojoko ani hag̃ua oñe'ẽ jerokyhápe imembykuña, ha roñeporandukuri mba'érepa péicha ojapo. ",La hija de Alice se comportaba de forma extraña.,Alice membykuña ndojeikuaái mba'épa upe ojaposéva.,0
7508134fdb49a4556ca84e2e292e10c2,"En varias ocasiones Henry había estado presente en las entrevistas que su padre había mantenido con destacados detectives que solicitaban su ayuda para resolver misterios sorprendentes, y esas ocasiones fueron días señalados para él.","Heta jey Henry oĩkuri itúva oñe'ẽ jave umi detective katupyry ndive oipotáva oipytyvõ ichupe omyesakã hag̃ua umi káso ijetu'u añetéva, ha umíva ichupe opytáva mandu'arã.",Estas ocasiones fueron días señalados para Henry.,Ko'ãva opytáva Henry-pe mandu'arã.,1
1792ac7814e7f7466ca79213daf6822a,"Sam acercó un asiento al piano, pero estaba roto, por lo que tuvo que quedarse de pie.","Sam omboja peteĩ apyka piano oĩháme, katu opẽmba, ha upévare opytánte oñembo'yhápe.","El asiento estaba roto, por lo que tuvo que quedarse de pie.","Upe apyka opẽmba, ha upévare opytánte oñembo'yhápe.",1
07eefa35f24ed0f7b90ad3e55c6354f5,Los políticos de Washington no pueden conocer a los colonos y por eso deben redactar normas para regularlos.,Umi político Washington-pegua ndaikatúi oikuaávo umi colono-pe ha upévare ojapo tekoguatarã ichupekuéra g̃uarã. ,Deben redactar normas para regular a los políticos.,Ojapo tekoguatarã ichupekuéra g̃uarã. ,0
c2a01f494179048c41d31552bd1edb16,A Anna la prueba le salió mucho mejor que a su buena amiga Lucy porque había estudiado mucho.,Anna-pe osẽ porãiteve kuara'ã ojapova'ekue iñangirũete Lucy ojapova'ekuégui hetave olee rupi. ,Anna había estudiado mucho.,Anna heta árama oñemoarandu,1
1f5cac3bf16ec0a52c446ebd1cc915bc,"John prometió a Bill que se iría, por eso se marchó al cabo de una hora.","John he'íkuri Bill-pe ohotaha, upéva rehe oho avei ohasa rire peteĩ aravo.",John se marchó., John oho.,1
9c38a9ba576e67e78914f1ee8e6b022b,El pez se comió al gusano. Estaba hambriento.,Pira ho'u ysópe. Iñembyahýikuri. ,El gusano estaba hambriento.,Yso iñembyahýi.,0
726b1ccee0745802ab3b834fa89483a4,Bill pasó la bandeja medio vacía a John porque estaba lleno.,Bill ombohasa John-pe bandeja nandilénto hyg̃uatáma rupi.,Bill estaba lleno.,Bill hyg̃uatãma.,1
c192049d95aefc972c98f5405e064637,Los zorros entran de noche y atacan a los pollos. Tendré que matarlos.,Aguara oike pyharekue ha ho'use ryguasukuéra. Ajukátamante.,Tendré que matar a los zorros.,Ajukátamante umi aguara.,1
a8b5f1d24c25966cf30b17047be2eff1,"Ann preguntó a Mary a qué hora cerraba la librería, porque lo había olvidado.","Ann oporandu Mary-pe mba'e aravópepa omboty aranduka ñevendeha, hesaráima rupi.",Ann lo había olvidado.,Ann hesaráima.,1
20b7a55b70cd9f6faba38ecfa025f1cc,El cliente entró en el banco y apuñaló a uno de los cajeros. Lo llevaron al hospital inmediatamente.,Peteĩ ñemuhára oike banco-pe ha oikutu peteĩva umi cajero-pe. Pya'eterei oguereha hikuái tasyópe.,Llevaron al cliente al hospital inmediatamente.,Ogueraha hikuái pya'eterei ñemuhárape tasyópe. ,0
b153d4841e993d1ceae85790ae59630c,Emma no pasó la pelota a Janie aunque vio que estaba abierta.,Emma nombohasái vakapipopo Janie-pe jepémo ohecha oĩha ha'eñoite.,Emma vio que ella estaba abierta.,Emma ohecha ichupe oĩha ha'eñoite.,1
